TRADE_DATE,STOCK_CODE,OPEN,HIGH,LOW,CLOSE,VOL,AMT
20131028,000300,2372.571,2377.249,2351.862,2365.954,62876152.0,56602098.405
20131029,000300,2369.216,2408.616,2327.904,2372.053,106737833.0,91741559.592
20131030,000300,2371.853,2407.851,2365.506,2407.471,92178126.0,75735067.216
20131031,000300,2398.395,2398.395,2370.226,2373.718,82736964.0,70393879.838
20131101,000300,2373.962,2395.005,2365.146,2384.96,63055762.0,57820026.665
20131104,000300,2397.21,2404.896,2376.355,2380.454,51798461.0,48959462.043
20131105,000300,2366.884,2385.688,2343.801,2383.769,62084488.0,56935549.943
20131107,000300,2351.871,2356.672,2328.253,2340.552,54821747.0,50942569.626
20131112,000300,2319.362,2342.529,2316.603,2340.0,52687545.0,49854763.423
20131113,000300,2325.36,2325.563,2287.547,2288.116,59848831.0,53183050.105
20131118,000300,2367.883,2429.566,2361.038,2428.903,110034633.0,108549512.988
20131120,000300,2428.767,2435.427,2406.417,2424.85,72291801.0,67741428.196
20131122,000300,2415.29,2418.999,2393.581,2397.962,75000675.0,70052206.585
20131125,000300,2385.784,2418.853,2380.689,2388.629,66144734.0,63811265.014
20131127,000300,2386.362,2422.806,2383.78,2414.481,75294088.0,70744775.407
20131129,000300,2442.676,2446.395,2432.387,2438.944,61803746.0,61907374.173
20131203,000300,2410.693,2448.333,2406.663,2442.784,74455752.0,72045234.174
20131204,000300,2439.824,2486.64,2434.694,2475.135,102650235.0,94783931.336
20131205,000300,2476.453,2481.747,2460.576,2468.197,77708932.0,72999931.131
20131206,000300,2463.043,2470.813,2445.623,2452.287,66114089.0,64843207.895
20131212,000300,2406.766,2423.309,2402.769,2410.015,50147719.0,47481447.335
20131216,000300,2408.678,2412.734,2367.43,2367.923,64581674.0,62107893.611
20131217,000300,2369.255,2373.286,2351.183,2356.376,48483891.0,46306075.57
20131218,000300,2356.703,2368.583,2350.451,2357.226,40015207.0,39675269.794
20131219,000300,2366.205,2370.991,2331.194,2332.41,48095680.0,45148866.928
20131224,000300,2291.125,2312.832,2270.245,2288.248,45599168.0,45173191.422
20131225,000300,2291.748,2305.609,2281.6,2305.11,44005326.0,41202984.186
20131226,000300,2299.972,2301.493,2263.922,2265.334,51497563.0,48603013.7
20131230,000300,2313.38,2316.621,2295.641,2299.458,48414308.0,46156442.661
20130107,000300,2518.047,2545.969,2511.603,2535.985,75167993.0,73167512.509
20130108,000300,2534.647,2540.513,2502.49,2525.33,71837100.0,76498061.772
20130109,000300,2518.104,2534.239,2504.299,2526.126,70231170.0,74233596.955
20130110,000300,2525.59,2553.352,2513.729,2530.569,71085862.0,71159045.499
20130111,000300,2533.495,2539.794,2473.696,2483.23,74239176.0,72775921.987
20130114,000300,2474.176,2583.625,2473.998,2577.725,93554091.0,96853471.373
20130115,000300,2579.132,2605.41,2576.919,2595.856,98620805.0,101356961.358
20130116,000300,2591.365,2600.093,2540.521,2577.092,93536084.0,95564995.007
20130117,000300,2570.711,2575.058,2539.674,2552.758,69915239.0,71716118.533
20130118,000300,2568.692,2607.446,2553.451,2595.439,77940303.0,77435163.47
20130121,000300,2605.649,2611.201,2582.652,2610.898,84133742.0,85357442.058
20130122,000300,2610.392,2620.025,2578.181,2596.898,105766275.0,102261160.399
20130123,000300,2588.198,2611.409,2576.362,2607.456,75739444.0,72758926.411
20130124,000300,2606.427,2663.404,2564.206,2582.755,111277172.0,109537680.297
20130125,000300,2580.881,2591.513,2567.107,2571.674,58487359.0,60689373.994
20130128,000300,2577.267,2651.967,2577.267,2651.863,91274790.0,98173275.704
20130131,000300,2690.951,2696.881,2671.33,2686.882,96740101.0,94476820.552
20130201,000300,2677.187,2744.322,2671.274,2743.324,103879515.0,110560933.901
20130205,000300,2727.93,2779.953,2725.362,2771.675,116130819.0,112701171.61
20130206,000300,2771.908,2787.456,2765.743,2775.844,82779271.0,88989578.113
20130207,000300,2771.53,2775.974,2722.874,2759.87,89978142.0,95978595.584
20130208,000300,2755.649,2791.303,2747.946,2771.725,77429644.0,82903631.783
20130219,000300,2735.045,2740.739,2674.339,2685.606,80626431.0,82460808.23
20130220,000300,2686.093,2703.098,2665.231,2702.635,70019377.0,73636360.656
20130221,000300,2675.741,2675.741,2584.758,2610.549,100657984.0,103619498.796
20130222,000300,2607.65,2618.483,2591.146,2596.604,60204852.0,65899100.176
20130225,000300,2607.149,2628.696,2590.787,2604.96,53161942.0,55614493.314
20130227,000300,2576.046,2615.249,2569.38,2594.677,63226743.0,64612274.221
20130228,000300,2611.94,2673.711,2593.997,2673.327,86922595.0,92235377.254
20130301,000300,2671.842,2680.854,2626.995,2668.836,73343753.0,80342747.703
20130304,000300,2619.42,2619.574,2528.694,2545.715,110619103.0,112585043.728
20130305,000300,2547.893,2623.171,2541.766,2622.807,89661152.0,92357133.815
20130306,000300,2634.87,2658.139,2620.431,2650.202,95829652.0,95048891.279
20130307,000300,2639.783,2658.969,2592.867,2619.479,94082666.0,96498095.994
20130308,000300,2622.684,2632.624,2601.961,2606.927,59429557.0,63054592.405
20130312,000300,2590.391,2619.512,2530.251,2555.615,71935141.0,71675127.58
20130313,000300,2551.726,2556.773,2515.058,2527.486,56430460.0,56003723.639
20130314,000300,2517.745,2546.699,2514.463,2534.273,47605756.0,49929775.447
20130315,000300,2533.722,2600.091,2504.458,2539.873,81372185.0,82749877.355
20130318,000300,2526.077,2544.619,2499.828,2502.493,59812778.0,63093556.699
20130319,000300,2507.396,2532.07,2491.854,2525.097,54536476.0,55601011.985
20130320,000300,2526.968,2610.174,2526.83,2610.174,90700622.0,91271022.2
20130321,000300,2611.58,2626.538,2598.509,2614.988,69552756.0,71642665.537
20130322,000300,2612.256,2625.531,2603.344,2618.308,55647141.0,55882142.445
20130325,000300,2628.407,2641.609,2607.613,2613.097,56261402.0,58004930.851
20130327,000300,2575.726,2611.939,2566.345,2583.53,56906517.0,58652246.31
20130328,000300,2535.988,2535.988,2495.083,2499.302,87578405.0,84725899.121
20130329,000300,2502.782,2509.109,2482.488,2495.083,52402137.0,52055540.48
20130402,000300,2495.843,2524.463,2475.0,2486.391,55684152.0,55637391.748
20130403,000300,2493.877,2507.143,2474.927,2483.547,45564221.0,45156719.409
20130410,000300,2487.984,2495.572,2466.19,2485.309,47504913.0,51963820.632
20130411,000300,2502.5,2508.593,2476.396,2477.876,42989958.0,43039949.368
20130412,000300,2476.322,2489.118,2460.182,2462.112,39917278.0,40428047.827
20130415,000300,2453.967,2461.668,2430.149,2436.818,46539734.0,44084843.341
20130416,000300,2419.508,2461.046,2416.617,2459.592,55280613.0,53783255.198
20130418,000300,2440.707,2478.413,2434.73,2464.851,42860707.0,46270137.159
20130419,000300,2469.951,2542.453,2469.323,2533.827,75520876.0,76723675.264
20130104,000300,2551.814,2558.529,2498.892,2524.409,97988182.0,95579245.007
20130129,000300,2655.377,2685.531,2646.154,2675.866,101040229.0,108827009.893
20130130,000300,2678.433,2689.683,2662.062,2688.711,99874990.0,100856652.553
20130204,000300,2753.688,2768.504,2731.08,2748.028,127939179.0,136119589.827
20130218,000300,2784.065,2787.74,2731.506,2737.471,76438227.0,81001366.822
20130226,000300,2587.375,2631.094,2564.672,2567.595,80003065.0,83373960.556
20130311,000300,2600.278,2611.652,2574.172,2592.372,50946436.0,52460900.851
20130326,000300,2601.964,2607.357,2554.974,2575.05,63962961.0,65306571.624
20130401,000300,2486.428,2507.825,2483.732,2493.187,47346022.0,47159820.558
20130408,000300,2443.24,2473.309,2429.5,2472.299,53296772.0,55249297.714
20130409,000300,2477.29,2505.294,2477.29,2489.43,52389824.0,54947035.592
20130417,000300,2457.881,2465.202,2437.345,2458.473,44692164.0,46800831.85
20130426,000300,2477.724,2488.585,2439.796,2447.306,47123378.0,46351986.661
20130506,000300,2502.978,2533.855,2500.455,2525.983,60418780.0,61767951.099
20130509,000300,2542.374,2543.305,2507.792,2527.794,60240145.0,64438292.561
20130422,000300,2525.113,2539.046,2518.257,2530.67,62511883.0,63027024.091
20130423,000300,2532.201,2532.201,2448.2,2449.471,60653982.0,61576157.889
20130424,000300,2452.781,2511.202,2446.587,2495.579,63050916.0,62189421.706
20130425,000300,2486.857,2505.482,2456.566,2467.875,60557927.0,59891284.466
20130502,000300,2434.603,2453.749,2423.077,2449.639,47016088.0,47200448.204
20130503,000300,2457.543,2521.119,2457.543,2492.912,62330091.0,63267042.656
20130507,000300,2519.364,2539.298,2507.756,2529.938,54490643.0,59244949.469
20130508,000300,2542.266,2562.007,2531.251,2542.798,59554294.0,60309148.841
20130510,000300,2519.517,2546.975,2515.158,2540.836,48816728.0,50896689.221
